date,name,count,damage
200109,"Louisiana",0,0.0
200110,"Louisiana",8,0.0
200111,"Louisiana",17,0.0
200112,"Louisiana",6,0.0
200101,"Maine",0,0.0
200102,"Maine",0,0.0
200103,"Maine",0,0.0
200104,"Maine",0,0.0
200105,"Maine",0,0.0
200106,"Maine",1,0.0
200107,"Maine",2,0.0
200108,"Maine",0,0.0
200109,"Maine",0,0.0
200110,"Maine",0,0.0
200111,"Maine",0,0.0
200112,"Maine",0,0.0
200101,"Maryland",0,0.0
200102,"Maryland",0,0.0
200103,"Maryland",0,0.0
200104,"Maryland",0,0.0
200105,"Maryland",7,0.0
200106,"Maryland",0,0.0
200107,"Maryland",3,0.0
200108,"Maryland",0,0.0
200109,"Maryland",2,0.0
200110,"Maryland",0,0.0
200111,"Maryland",0,0.0
200112,"Maryland",0,0.0
200101,"Massachusetts",0,0.0
200102,"Massachusetts",0,0.0
200103,"Massachusetts",0,0.0
200104,"Massachusetts",0,0.0
200105,"Massachusetts",0,0.0
200106,"Massachusetts",2,0.0
200107,"Massachusetts",0,0.0
200108,"Massachusetts",0,0.0
200109,"Massachusetts",0,0.0
200110,"Massachusetts",0,0.0
200111,"Massachusetts",0,0.0
200112,"Massachusetts",0,0.0
200101,"Michigan",0,0.0
200102,"Michigan",0,0.0
200103,"Michigan",0,0.0
200104,"Michigan",2,0.0
200105,"Michigan",22,0.0
200106,"Michigan",4,0.0
200107,"Michigan",0,0.0
200108,"Michigan",1,0.0
200109,"Michigan",2,0.0
200110,"Michigan",11,0.0
200111,"Michigan",0,0.0
200112,"Michigan",0,0.0
200101,"Minnesota",0,0.0
200102,"Minnesota",0,0.0
200103,"Minnesota",0,0.0
200104,"Minnesota",0,0.0
200105,"Minnesota",27,0.0
200106,"Minnesota",38,0.0
200107,"Minnesota",11,0.0
200108,"Minnesota",2,0.0
200109,"Minnesota",1,0.0
200110,"Minnesota",0,0.0
200111,"Minnesota",0,0.0
200112,"Minnesota",0,0.0
200101,"Mississippi",0,0.0
200102,"Mississippi",16,0.0
200103,"Mississippi",10,0.0
200104,"Mississippi",0,0.0
200105,"Mississippi",3,0.0
200106,"Mississippi",6,0.0
200107,"Mississippi",0,0.0
200108,"Mississippi",2,0.0
200109,"Mississippi",1,0.0
200110,"Mississippi",14,0.0
200111,"Mississippi",18,0.0
200112,"Mississippi",5,0.0
200101,"Missouri",0,0.0
200102,"Missouri",2,0.0
200103,"Missouri",0,0.0
200104,"Missouri",15,0.0
200105,"Missouri",10,0.0
200106,"Missouri",1,0.0
200107,"Missouri",0,0.0
200108,"Missouri",2,0.0
200109,"Missouri",5,0.0
200110,"Missouri",5,0.0
200111,"Missouri",2,0.0
200112,"Missouri",0,0.0
200101,"Montana",0,0.0
